api_id,nome,status,orgao_id
142,Obter autorização de residência para fins laborais a imigrantes,Mantido,24
197,Credenciar empresa no Programa Cultura do Trabalhador,Mantido,11
236,Obter apoio para captação e promoção de eventos internacionais,Mantido,162
263,Cadastrar empresas candidatas a Empresas estratégicas de defesa (EED) ou empresas de defesa (ED),Mantido,101
282,DNIT - Apresentar Recurso contra Penalidade de Multa de Trânsito,Mantido,36
359,Qualificar entidade como Organização da Sociedade Civil de Interesse Público,Mantido,24
406,Obter ou Renovar Passe Livre,Mantido,45
418,Inscrever-se para participar em feiras internacionais de turismo,Mantido,162
466,Obter 2ª Via da Credencial do Passe Livre,Mantido,45
472,Cadastrar Guia de Turismo,Mantido,8
498,Solicitar equipamentos recondicionados para Ponto de Inclusão Digital,Mantido,90
546,Inscrever-se no SISU (Sistema de Seleção Unificada),Mantido,10
730,Criar Zonas de Processamento de Exportação,Mantido,5
731,Instalar projeto industrial em Zonas de Processamento de Exportação,Mantido,5
751,Cadastrar Empresa no Registro Especial de Empresas Comerciais Exportadoras,Mantido,5
752,Obter Licença de Importação,Mantido,5
787,Obter Benefícios Fiscais para Importação de Matéria-Prima para Fabricação Nacional de Máquinas e Equipamentos a serem Fornecidos no Mercado Interno.,Mantido,5
788,Emitir Certidão de Antecedentes Criminais,Mantido,31
790,Validar Certidão de Antecedentes Criminais,Mantido,31
793,Retificar Licenças de Importação com anuência do DECEX após o desembaraço da mercadoria,Mantido,5
797,Obter Benefícios Fiscais da Lei da Informática,Mantido,5
809,Obter Bolsa de Pós-Graduação no Exterior,Mantido,148
810,Obter Bolsa de Pós-Graduação no País.,Mantido,148
820,Cadastrar-se como Beneficiária$§ Fornecedora e Nutricionista no Programa de Alimentação do Trabalhador,Mantido,57
821,Cadastrar o Sistema de Registro de Ponto Eletrônico,Mantido,57
822,Entregar a Relação Anual de Informações Sociais.,Mantido,57
824,Entregar a declaração mensal para o Cadastro Geral de Empregados e Desempregados,Mantido,57
825,Cadastrar curso de aprendizagem profissional,Mantido,57
827,Realizar a Comunicação Prévia de Obras,Mantido,57
828,Obter Certificado de Aprovação de Equipamento de Proteção Individual.,Mantido,57
830,Registrar-se como profissional para atividades exigidas em lei,Mantido,57
831,Registrar Serviços Especializados em Segurança e Medicina do Trabalho,Mantido,57
832,Inscrever-se no Cadastro Nacional de Empreendimentos Econômicos Solidários e Comércio Justo,Mantido,32
833,Cadastrar Empresas que Utilizam Benzeno,Mantido,57
834,Cadastrar Empresas que Utilizam Amianto,Mantido,57
835,Emitir Certidão de Débitos e Consulta de Autos de Infração Trabalhista,Mantido,57
837,Buscar emprego no Sistema Nacional de Emprego (Sine),Mantido,57
839,Fazer o Exame Nacional do Ensino Médio,Mantido,151
848,Cadastrar bem arqueológico,Mantido,42
853,Participar do Programa Educativo do Centro Nacional de Folclore e Cultura Popular,Mantido,42
858,Matricular-se em Mestrado Profissional em Preservação do Patrimônio Cultural,Mantido,42
866,Requerer avaliação de impacto a Bens Culturais no âmbito de Licenciamento Ambiental,Mantido,42
886,Solicitar o registro de marca de produto ou serviço,Mantido,63
895,Inscrever-se em eventos sobre relações internacionais e política externa brasileira promovidos pela FUNAG,Mantido,33
898,Fazer o Exame Nacional de Revalidação de Diplomas Médicos Expedidos por Instituição de Educação Superior Estrangeira,Mantido,151
913,Pagar débitos a órgãos federais - Autarquias e fundações públicas,Mantido,91
917,Acessar o benefício Garantia Safra,Mantido,2
919,Registrar pedido de acesso a informações de órgãos públicos na Plataforma Fala.BR.,Mantido,107
920,Obter certidão de antecedentes em processo correcional instaurado pela Controladoria-Geral da União,Mantido,107
933,Homologar curso de classificadores de produtos de origem vegetal padronizados,Mantido,2
934,Obter autorização de funcionamento para estabelecimentos que lidam com produtos destinados à alimentação animal.,Mantido,2
935,Cancelar registro de estabelecimento de produtos destinados à alimentação animal,Mantido,2
936,Obter autorização para fabricação de produtos para alimentação animal com o uso de medicamentos de uso veterinário.,Mantido,2
941,Registrar estabelecimentos produtores e comerciantes de material de multiplicação animal (MMA) - sêmen e embriões,Mantido,2
942,Cancelar registro de estabelecimentos produtores e comerciantes de material de multiplicação animal (MMA) - sêmen e embriões,Mantido,2
943,Inscrever reprodutor doador de sêmen,Mantido,2
946,Renovar licença de estabelecimento importador$§ fabricador$§ manipulador e comercializador de produto de uso veterinário,Mantido,2
947,Registrar produto veterinário,Mantido,2
948,Obter autorização de importação de animais$§ material genético e produtos de origem animal,Mantido,2
949,Obter cadastro de médico veterinário para vacinação contra brucelose,Mantido,2
950,Obter habilitação para atuar no Programa Nacional de Controle e Erradicação da Brucelose e Tuberculose Animal,Mantido,2
951,Obter registro de estabelecimento avícola de reprodução,Mantido,2
952,Obter o Certificado Sanitário de Compartimento Avícola,Mantido,2
953,Estudar o Ensino Superior no Brasil,Mantido,10
957,Obter incentivos fiscais do PADIS,Mantido,12
958,Pós-Graduação - Mestrado Profissional em Física no CBPF,Mantido,12
960,Pesquisa no Parque Zoobotânico e Estações Biológicas do Instituto Nacional da Mata Atlântica (INMA),Mantido,12
963,Obter acesso e autorização para uso de filmes brasileiros em outras obras audiovisuais,Mantido,11
964,Entregar materiais ao acervo audiovisual do Ministério da Cultura,Mantido,11
969,Inscrever-se no Cadastro Único,Mantido,32
974,Obter atendimento no Programa Fomento às Atividades Produtivas Rurais,Mantido,32
976,Receber tecnologia social de acesso à água para consumo familiar,Mantido,32
978,Receber tecnologia social de acesso à água - escolas públicas rurais,Mantido,32
979,Receber tecnologia social de acesso à água para produção de alimentos,Mantido,32
980,Credenciar entidade sem fins lucrativos no Programa Cisternas,Mantido,32
981,Certificar-se como Entidade Beneficente de Assistência Social,Mantido,32
982,Formar-se como instrutor de cursos do Ministério da Cidadania,Mantido,32
983,Formar-se em temáticas de desenvolvimento social e esporte$§ por meio de cursos EaD e de recursos educacionais digitais (REDs),Mantido,32
985,Obter os benefícios do Programa Bolsa Atleta,Mantido,32
989,Obter declaração de regularidade de cursos e instituições de ensino superior para fins de estudo$§ trabalho e demais comprovações no Brasil ou exterior,Mantido,10
996,Requerer alteração ou suspensão de medidas antidumping e compensatórias por razões de interesse público,Mantido,5
997,Concorrer a premiações de monografias$§ iniciativas ou boas práticas em temas relevantes para o serviço público,Mantido,68
1006,Habilitar-se no Sistema de Controle de Atividades Financeiras (Siscoaf),Mantido,164
1008,Habilitar-se como interveniente em Comércio Exterior,Mantido,5
1011,Obter Ex-Tarifário para Bens de Capital e Bens de Informática e Telecomunicações,Mantido,5
1013,Obter Benefício de Redução a Zero do Imposto de Renda para Operações de Promoção Comercial de Produtos e Serviços,Mantido,5
1018,Obter Desoneração Tributária para Mercadorias Destinadas à Industrialização de Produto a ser Exportado.,Mantido,5
1022,Solicitar despachos de operações de comércio exterior,Mantido,5
1027,Obter Concessão de Regime Aduaneiro Especial para Mercadorias Destinadas à Industrialização de Embarcação.,Mantido,5
1028,Obter redução no imposto de importação na Colômbia para produtos lácteos.,Mantido,5
1029,Obter redução do imposto de importação na União Europeia para açúcar.,Mantido,5
1030,Obter desoneração tributária para reposição de insumos utilizados para exportação.,Mantido,5
1031,Denunciar e buscar ajuda a vítimas de violência contra mulheres,Mantido,4
1032,Reclamar contra serviço ou produto de empresas privadas - Consumidor.gov.br,Mantido,24
1033,Requerer acesso ao serviço público de transmissão de energia elétrica,Mantido,25
1034,Cadastrar-se como fornecedor da Administração Pública,Mantido,5
1035,Legalizar documento emitido no Brasil para validade em países que não são parte da Convenção da Apostila de Haia.,Mantido,65
1036,Obter passaporte diplomático ou oficial,Mantido,65
1038,Promover exportações ou captar investimentos para empresa brasileira no exterior.,Mantido,65
1039,Obter passagem aérea de retorno ao país de origem para estudante estrangeiro,Mantido,65
1041,Certificar-se como Entidade Beneficente de Assistência Social em Saúde,Mantido,44
1042,Obter bolsas do Pró-Residência,Mantido,44
1044,Solicitar credenciamento de Centros de Especialidades Odontológicas,Mantido,44
1045,Solicitar o Seguro-Desemprego,Mantido,57
1046,Solicitar registro de empresa de trabalho temporário,Mantido,57
1047,Cadastrar prestador de serviços turísticos,Mantido,8
1050,Habilitar estabelecimento na Alta Complexidade em Neurocirurgia e Neurologia,Mantido,44
1051,Habilitar estabelecimento como Centro de Atendimento de Urgência aos Pacientes com AVC,Mantido,44
1052,Comprar Títulos Públicos Federais,Mantido,5
1054,Parcelar débitos inscritos em dívida ativa da União - acima de R$ 15 milhões,Mantido,21
1057,Obter empréstimo de livros e publicações impressas da Biblioteca Graciliano Ramos,Mantido,68
1059,Enviar comunicações de que trata o art. 11$§ da Lei nº 9.613$§ de 1998,Mantido,164
1071,Receber assistência e proteção a testemunhas,Mantido,4
1073,Solicitar pensão especial por isolamento e internação compulsórios de Hanseníase,Mantido,4
1075,Consultar sobre a existência de restrição legal para saída de obras de arte do país,Mantido,42
1079,Consultar documentos do acervo do Arquivo Nacional,Mantido,113
1080,Sacar cotas do PIS ou PASEP,Mantido,57
1081,Solicitar registro de contratos$§ averbação de licenças ou cessão de direitos de propriedade industrial,Mantido,63
1082,Solicitar patente de invenção,Mantido,63
1083,Solicitar o registro de desenho industrial,Mantido,63
1084,Solicitar o registro de programa de computador,Mantido,63
1085,Comprar moeda comemorativa,Mantido,41
1086,Aprender sobre elementos de segurança do Real,Mantido,41
1090,Obter a resolução de conflitos através de procedimento de mediação,Mantido,91
1092,Obter autorização para exportar produtos de defesa,Mantido,65
1093,Obter bolsa-prêmio do Programa de Ação Afirmativa do Instituto Rio Branco,Mantido,65
1099,Cadastrar-se no Sistema Integrado de Registro do CEIS e CNEP,Mantido,107
1103,Consultar dados no Portal da Transparência do Governo Federal,Mantido,107
1104,Obter recursos para obras de acessibilidade em escolas públicas,Mantido,10
1105,Implantar Salas de Recursos Multifuncionais,Mantido,10
1108,Registrar manifestação de ouvidoria na Plataforma Fala.BR,Mantido,107
1109,Obter outorga para exercer serviço de RTV,Mantido,90
1112,Obter autorização ou renovação para hospitais e equipes de transplante,Mantido,44
1115,Tratar alegações de inobservância das diretrizes da OCDE para as empresas multinacionais,Mantido,5
1116,Renovar registro de estabelecimento fabricante$§ importador ou fracionador da alimentos para animais,Mantido,2
1117,Renovar registro de produto destinado à alimentação animal.,Mantido,2
1118,Receber autorização de comercialização para produtos destinados à alimentação animal,Mantido,2
1120,Registrar produtos de uso veterinário de natureza farmacêutica,Mantido,2
1121,Consultar Histórico Financeiro de Imóvel da União,Mantido,5
1122,Revisar ou Cancelar Cobrança de Taxas sobre Imóvel da União,Mantido,5
1123,Consultar e Emitir DARF de Parcelamento de Débitos sobre Imóvel da União Concedido até Julho de 2009,Mantido,5
1124,Rever Área e Valor de Avaliação de Imóvel da União,Mantido,5
1125,Obter Autorização de Obras em Imóvel da União,Mantido,5
1126,Cancelar Inscrição de Ocupação de Imóvel da União,Mantido,5
1127,Consultar Dados Cadastrais de Imóvel da União,Mantido,5
1128,Atualizar Cadastro de Ocupante de Imóvel da União Oriundo da ex-RFFSA,Mantido,5
1130,Realizar a Remição de Foro,Mantido,5
1142,Apresentar recurso em julgamento na aplicação de legislação tributária em segunda instância,Mantido,5
1146,Obter parcelamento de pagamento de bem arrematado em juízo,Mantido,21
1147,Consultar débitos inscritos em dívida ativa da União,Mantido,21
1150,Solicitar a exclusão ou suspensão do nome no Cadin,Mantido,21
1151,Parcelar débitos do Simples Nacional inscritos em dívida ativa da União,Mantido,21
1153,Substituir ou complementar garantia administrativa de débito inscrito em dívida ativa da União,Mantido,21
1155,Emitir Guia de Previdência Social através do Sistema de Acréscimos Legais,Mantido,5
1156,Acompanhar Processo Administrativo Sancionador (PAS),Mantido,164
1158,Capacitar-se em temas de saúde,Mantido,44
1160,Inscrever-se em cursos na Universidade Aberta do SUS,Mantido,44
1161,Credenciar instituição ou curso superior,Mantido,10
1163,Obter a igualdade de direitos para cidadão português,Mantido,24
1164,Optar pela perda de nacionalidade brasileira,Mantido,24
1165,Readquirir nacionalidade brasileira,Mantido,24
1167,Obter Isenção de Pagamento de Taxas sobre Imóvel da União,Mantido,5
1168,Emitir DARF para Pagamento de Taxas sobre Imóvel da União,Mantido,5
1170,Obter autorização prévia para importação de fertilizantes$§ inoculantes e corretivos,Mantido,2
1173,Obter capacitação e assessoria técnica para empreendimento criativo,Mantido,11
1174,Assistir filmes nas salas da Cinemateca Brasileira,Mantido,11
1175,Obter materiais e assistência técnica para realização de mostras e festivais audiovisuais,Mantido,11
1176,Implantar Núcleo de Produção Digital,Mantido,11
1177,Autorizar funcionamento de Organização Estrangeira no Brasil (OE),Mantido,24
1178,Obter certificado de Ponto ou Pontão de Cultura,Mantido,11
1180,Emitir comprovante da inscrição no Cadastro Único para Programas Sociais do Governo Federal,Mantido,32
1188,Habilitar cultivar para produção e comercialização,Mantido,2
1190,Credenciar responsável técnico no Registro Nacional de Sementes e Mudas,Mantido,2
1194,Reativar Contrato de Aforamento de Imóvel da União,Mantido,5
1195,Emitir Certidões de Imóveis Administrados pela SPU,Mantido,5
1196,Validar Certidão de Autorização para Transferência - CAT de Imóvel da União,Mantido,5
1201,Participar de Serviços da Proteção Social Especial,Mantido,32
1203,Adquirir Carteira do Idoso,Mantido,32
1211,Obter autorização para estadia de embarcações em portos brasileiros no Porto Sem Papel,Mantido,18
1215,Obter o direito de praticar manejo sustentável de florestas públicas da União,Mantido,2
1218,Obter autorização para realizar aerolevantamento,Mantido,101
1219,Solicitar reconhecimento de Situação de Emergência ou Estado de Calamidade Pública,Mantido,87
1224,Registrar operador aeroagrícola,Mantido,2
1232,Obter outorga para exercer serviços de radiodifusão educativa,Mantido,90
1245,Obter autorização de operações societárias de serviços de radiodifusão,Mantido,90
1246,Impugnar Traçado de Demarcação da SPU,Mantido,5
1247,Compensar Créditos de Receita Patrimonial,Mantido,5
1248,Obter a Gestão Municipal de Praias Marítimas,Mantido,5
1249,Obter Informações Financeiras de Imóvel oriundo da ex-RFFSA,Mantido,5
1250,Remeter Plantas e Valores de Imóveis da União (exclusivo para Municípios),Mantido,5
1251,Consultar e Emitir DARF de Parcelamento de Débitos sobre Imóvel da União concedido a partir de 1º de agosto de 2017.,Mantido,5
1252,Obter outorga  para exercer serviços de radiodifusão comercial,Mantido,90
1254,Capacitar-se e certificar-se em linguas estrangeiras,Mantido,10
1255,Revalidar e Reconhecer Diplomas Estrangeiros,Mantido,10
1256,Ser qualificado para atender pacientes renais crônicos e ofertar Terapia Renal Substitutiva,Mantido,44
1269,Habilitar-se para assistência ao paciente com fissura labiopalatal na alta complexidade,Mantido,44
1270,Habilitar-se como serviço de alta complexidade em traumato-ortopedia,Mantido,44
1288,Apresentar projeto com recursos da Lei de Incentivo ao Esporte,Mantido,32
1289,Aprender gestão de finanças pessoais,Mantido,41
1290,Aprender e ensinar educação financeira,Mantido,41
1291,Agendar palestra de especialista do Banco Central,Mantido,41
1294,Obter financiamento para melhoria da mobilidade urbana - Setor Privado,Mantido,87
1299,Capacitar-se para utilizar os sistemas de cadastro e de gestão dos programas do Ministério da Cidadania,Mantido,32
1300,Cadastrar-se como tutor de grupo de tutoria do PET,Mantido,10
1305,Obter financiamento para pequenas obras$§ reparos e mobília para escolas do campo,Mantido,10
1316,Emitir documento para pagamento de débitos inscritos em dívida ativa da União,Mantido,21
1317,Parcelar débitos inscritos em dívida ativa da União - até R$ 15 milhões,Mantido,21
1321,Conhecer ou Acessar o Fator Acidentário de Prevenção,Mantido,57
1322,Obter consultas técnicas do Regime Geral de Previdência Social,Mantido,57
1323,Obter Consultas Normativas e Regulatórias do Regime Geral de Previdência Social,Mantido,57
1336,Obter redução em tarifas de importação de autopeças,Mantido,5
1337,Credenciar Laboratório na Rede Nacional de Laboratórios Agropecuários do MAPA.,Mantido,2
1341,Obter autorização para exploração de apostas em corridas de cavalos,Mantido,2
1361,Obter autorização para importação sem fins comerciais de bebidas$§ fermentados acéticos$§ vinhos e derivados da uva e do vinho,Mantido,2
1362,Obter certificação de importação de bebidas$§ fermentados acéticos$§ vinhos e derivados da uva e do vinho.,Mantido,2
1363,Obter autorização de importação eventual e específica de produtos vegetais,Mantido,2
1365,Registrar agrotóxico para exportação,Mantido,2
1366,Credenciar entidades para realização de testes de agrotóxico,Mantido,2
1367,Obter anuência prévia para importação de agrotóxicos,Mantido,2
1368,Registrar agrotóxico,Mantido,2
1389,Obter Certificado de Registro Especial Temporário de agrotóxicos,Mantido,2
1394,Registrar agrotóxico para uso na agricultura orgânica,Mantido,2
1395,Registrar agrotóxicos classificados como produtos biológicos$§ Microbiológicos$§ Bioquímicos e Semioquímicos para uso na Agricultura,Mantido,2
1396,Renovar licença de produto de uso veterinário,Mantido,2
1397,Obter autorização prévia de importação de farmoquímico$§ destinado à fabricação de partida piloto de produtos de uso veterinário,Mantido,2
1398,Obter autorização prévia de embarque de produto veterinário semiacabado ou substância controlada destinada à fabricação de produto veterinário,Mantido,2
1399,Obter autorização prévia de embarque p/ prod.veterinário isento de registro$§não controlado$§em quant. p/uso individual e não destin. à comercialização,Mantido,2
1400,Autorização prévia de importação de prod.veterinário destin. à entidade oficial/particular p/pesquisa$§experimentação$§programa oficial$§análise laborat.,Mantido,2
1401,Obter autorização prévia de importação de material biológico$§agente infeccioso$§ semente$§ p/experimentação/partida piloto de prod.veterinário biológico,Mantido,2
1402,Obter licença para fabricação de produto veterinário exclusivamente para exportação,Mantido,2
1404,Obter autorização de importação de material vegetal sujeito a quarentena,Mantido,2
1405,Credenciar empresa para realização de tratamento fitossanitário com fins quarentenários,Mantido,2
1406,Habilitar-se para emissão da Guia de Trânsito Animal,Mantido,2
1407,Solicitar documento oficial de trânsito de produtos de origem animal,Mantido,2
1409,Inscrever-se ou Credenciar-se no Registro Nacional de Sementes e Mudas,Mantido,2
1410,Certificar sementes e mudas,Mantido,2
1411,Inscrever campo ou viveiro,Mantido,2
1412,Certificar sementes para exportação,Mantido,2
1416,Credenciar certificadoras no SISBOV,Mantido,2
1428,Obter redução de IPI para produção de eletrônicos em território nacional,Mantido,12
1429,Pós-Graduação Acadêmica em Física do CBPF,Mantido,12
1430,Fazer pós-graduação no Instituto Nacional de Pesquisas Espaciais,Mantido,12
1431,Realizar ensaios dentro do escopo da acreditação no Instituto Nacional de Tecnologia,Mantido,12
1433,Solicitar caracterização de rochas ornamentais,Mantido,12
1434,Utilizar laboratório multiusuários de instrumentação científica,Mantido,12
1435,Obter autorização de uso do Observatório Pico dos Dias,Mantido,12
1436,Obter autorização de uso do Telescópio SOAR,Mantido,12
1437,Obter autorização de uso do Observatório Gemini,Mantido,12
1438,Obter autorização de uso do Telescópio CFHT,Mantido,12
1440,Obter conexão de internet – Programa Wi-Fi Brasil,Extinto,90
1442,Obter incentivos fiscais para empresas que lidam com desenvolvimento tecnológico e inovação,Mantido,12
1444,Certificar-se como Entidade Beneficente de Assistência Social em Educação,Mantido,10
1463,Acessar Sistema Empresa de Recolhimento do FGTS e Informações à Previdência Social,Mantido,57
1466,Obter extrato do Sistema de Informações sobre Requisitos Fiscais,Mantido,5
1502,Obter autorização para atividades de distribuição gratuita de prêmios$§ a título de propaganda$§ ou de captação de poupança popular,Mantido,5
1503,Alterar o Beneficiário da Titularidade do ato Concessório de Drawback,Mantido,5
1504,Alterar Registro de Exportação averbado,Mantido,5
1505,Apresentar Pleitos de Alterações do Imposto de Importação,Mantido,5
1506,Obter redução do imposto de importação no país de destino para mercadoria exportada,Mantido,5
1512,Denunciar violação de direitos humanos,Mantido,4
1513,Expedir ou Renovar Plano de Segurança Bancária,Mantido,31
1514,Cadastrar povo ou comunidade tradicional no banco de dados do Portal Ypadê,Mantido,112
1516,Realizar inscrição nos cursos de Educação a Distância do MMA,Mantido,112
1517,Obter cálculo de garantia física de energia de empreendimento gerador,Mantido,25
1518,Fazer cursos de língua portuguesa e cultura brasileira,Mantido,65
1519,Habilitar hospitais em alta complexidade em oncologia,Mantido,44
1520,Habilitar laboratório em citopatologia na prevenção do câncer do colo do útero,Mantido,44
1521,Habilitar serviço de referência para diagnóstico  e tratamento de câncer do colo do útero e de mama,Mantido,44
1523,Ser qualificado para atendimento de pacientes vítimas de queimaduras,Mantido,44
1525,Habilitar-se para assistência no tratamento da lipodistrofia e lipoatrofia facial do portador de HIV e AIDS,Mantido,44
1526,Habilitar-se para atenção especializada às pessoas com deficiência auditiva no Sistema Único de Saúde,Mantido,44
1527,Habilitar-se na Política Nacional de Atenção Integral às Pessoas com Doenças Raras,Mantido,44
1528,Habilitar-se para realizar processo transexualizador,Mantido,44
1529,Ser classificado como serviço de assistência de alta complexidade em Terapia Nutricional,Mantido,44
1539,Habilitar estabelecimento de saúde como serviço de assistência de alta complexidade ao indivíduo com obesidade,Mantido,44
1547,Solicitar credenciamento de equipes de Consultório na Rua para garantia do acesso da população em situação de rua aos serviços de saúde,Mantido,44
1548,Solicitar o credenciamento de equipes de Saúde da Família para aumentar a oferta de serviços de saúde,Mantido,44
1549,Solicitar credenciamento de Laboratórios Regionais de Prótese Dentária,Mantido,44
1684,Obter autorização ambiental para realização de atividades na Antártica,Mantido,112
1685,Obter autorização ou renovação para funcionamento de laboratórios de histocompatibilidade e imunogenética e bancos de tecidos,Mantido,44
1687,Visitar a galeria de arte do Banco Central,Mantido,41
1688,Visitar o museu de valores do Banco Central,Mantido,41
1690,Consultar processos em andamento na Procuradoria-Geral do Banco Central,Mantido,41
1691,Obter previsões do tempo para a região da Amazônia Legal,Mantido,101
1692,Consultar pontos próximos para compra ou venda de moeda estrangeira (Câmbio Legal),Mantido,41
1695,Obter informações sobre as florestas nacionais,Extinto,2
1697,Buscar apoio para executar cálculos financeiros,Mantido,41
1699,Pedir informações ao Banco Central,Mantido,41
1701,Manifestar sobre serviços prestados pelo BC (Ouvidoria),Mantido,41
1704,Obter informações sobre as Unidades de Conservação Ambiental nacionais,Mantido,112
1705,Propor acordo para pagamento de dívidas com a União (Ministérios$§ Tribunal de Contas da União e outros órgãos ou instituições da Administração Pública,Mantido,91
1706,Consultar acervo do Arquivo Central do Itamaraty,Mantido,65
1707,Consultar acervo da Biblioteca do Itamaraty,Mantido,65
1709,Obter autorização para programa de residência para estudantes de medicina,Mantido,10
1711,Consultar acervo da Biblioteca Embaixador João Guimarães Rosa,Mantido,65
1713,Obter informações especializadas sobre importação$§ exportação e investimentos no exterior,Mantido,65
1714,Consultar Processo Correcional,Mantido,107
1717,Comprovar cumprimento das condicionalidades  da educação do Programa Bolsa Família,Mantido,10
1735,Habilitar-se como serviço de alta complexidade cardiovascular,Mantido,44
1741,Obter acesso ao Sistema de Informação de Certificação de Entidades Beneficentes de Assistência Social na área de saúde,Mantido,44
1748,Solicitar adesão ao Projeto Mais Médicos e ao Programa Médicos pelo Brasil,Mantido,44
1749,Obter medicamentos para a população do estado ou município,Mantido,44
1752,Obter apoio financeiro para projetos de saneamento básico por meio de Emendas Parlamentares,Mantido,87
1754,Obter apoio e qualificação do Telessaúde,Mantido,44
1761,Solicitar credenciamento de Equipes de Saúde Bucal,Mantido,44
1767,Esclarecer dúvidas sobre comércio exterior,Mantido,5
1768,Comprovar o Cumprimento do Compromisso Assumido nos Atos Concessórios de Drawback Suspensão.,Mantido,5
2187,Aprovar Plano Diretor de um Aeródromo (PDIR),Mantido,17
2188,Obter autorização para turmas itinerantes de Capacitação para o Serviço de Prevenção$§ Salvamento e Combate a Incêndio em Aeródromos Civis (SESCINC),Mantido,17
2189,Parcelar débitos junto à ANAC,Mantido,17
2191,Obter restituição de Taxa de Fiscalização da Aviação Civil,Mantido,17
2192,Obter Certificação para Centro de Treinamento de Aviação Civil – RBAC 142,Mantido,17
2194,Obter alocação de frequências internacionais,Mantido,17
2195,Registrar Plano de Zoneamento de Ruído de Aeródromos Públicos,Mantido,17
2196,Obter aprovação para captação de recursos incentivados destinados à produção de obras audiovisuais,Mantido,86
2198,Obter Certificado de Produto Brasileiro,Mantido,86
2199,Registrar Agente Econômico atuante no mercado audiovisual brasileiro,Mantido,86
2207,Alterar Plano de Universalização do Serviço Público de Energia Elétrica.,Mantido,6
2208,Obter ou validar certificados de adimplemento,Mantido,6
2209,Obter autorização para projetos de rogação à Conta de Consumos de Combustíveis - CCC.,Mantido,6
2211,Cadastrar fornecedor de marcador de solventes.,Mantido,62
2212,Credenciar firma inspetora.,Mantido,62
2213,Obter autorização para a atividade de refino de petróleo,Mantido,62
2214,Obter autorização para operação de unidade de processamento de gás natural,Mantido,62
2215,Obter autorização para a atividade de produção de etanol combustível,Mantido,62
2216,Obter autorização para a atividade de produção de biodiesel,Mantido,62
2217,Obter autorização para operação de plantas de solventes,Mantido,62
2218,Obter aprovação para prestação de serviços de formulação de combustíveis,Mantido,62
2224,Obter autorização para Revenda Varejista de Combustível Automotivo,Mantido,62
2227,Solicitar homologação de pedido de aquisição de gasolina$§ diesel e OCTE,Mantido,62
2228,Solicitar homologação de Contrato de Aquisição de Gasolina$§ Diesel e OCTE,Mantido,62
2230,Obter autorização para uso de sistema de medição da produção de petróleo e gás natural,Mantido,62
2232,Emitir comprovante de dados cadastrais de beneficiários de planos de saúde junto à ANS,Mantido,50
2233,Consultar a nota de operadoras de plano de saúde,Mantido,50
2234,Obter vistas e cópias de processos administrativos em posse da ANS,Mantido,50
2236,Obter aprovação de programas de promoção da saúde e prevenção de riscos e doenças,Mantido,50
2237,Emitir certidão de situação cadastral de plano de saúde,Mantido,50
2238,Suspender ou reativar comercialização de registro de  plano de saúde,Mantido,50
2242,Solicitar autorização e registro na Antaq para afretamento de embarcação estrangeira,Mantido,89
2243,Obter autorização da Antaq para revisão/reajuste das tarifas portuárias.,Mantido,89
2244,Obter autorização da Antaq para incorporação/desincorporação de bens da União ao/do acervo patrimonial dos portos organizados.,Mantido,89
2245,Obter autorização da Antaq para transferência de controle societário de instalação portuária.,Mantido,89
