positivas,negativas,total,pos_periodo,neg_periodo,tot_periodo,tempo_id,servico_id
214,173,387,214,173,387,1,263
33,15,48,33,15,48,1,264
84,45,129,84,45,129,1,265
21,27,48,21,27,48,1,266
18,4,22,18,4,22,1,267
3,4,7,3,4,7,1,268
1,2,3,1,2,3,1,269
5,0,5,5,0,5,1,270
4,3,7,4,3,7,1,271
44,10,54,44,10,54,1,272
5,5,10,5,5,10,1,273
27,7,34,27,7,34,1,274
4,0,4,4,0,4,1,275
1,1,2,1,1,2,1,276
4,0,4,4,0,4,1,277
2,0,2,2,0,2,1,278
5,0,5,5,0,5,1,279
238,69,307,238,69,307,1,280
19,10,29,19,10,29,1,281
52,52,104,52,52,104,1,282
164,205,369,164,205,369,1,283
48,134,182,48,134,182,1,284
30,16,46,30,16,46,1,285
21,11,32,21,11,32,1,286
5,10,15,5,10,15,1,287
35,34,69,35,34,69,1,288
6,9,15,6,9,15,1,289
1124,356,1480,1124,356,1480,1,290
14,6,20,14,6,20,1,291
13,3,16,13,3,16,1,292
148,47,195,148,47,195,1,293
8,7,15,8,7,15,1,294
54,20,74,54,20,74,1,295
13,9,22,13,9,22,1,296
25,25,50,25,25,50,1,297
11,14,25,11,14,25,1,298
5,5,10,5,5,10,1,299
8,16,24,8,16,24,1,300
8,9,17,8,9,17,1,301
15,13,28,15,13,28,1,302
2,13,15,2,13,15,1,303
3,10,13,3,10,13,1,304
15,12,27,15,12,27,1,305
20,13,33,20,13,33,1,306
11,17,28,11,17,28,1,307
31,43,74,31,43,74,1,308
4,5,9,4,5,9,1,309
1,7,8,1,7,8,1,310
23,15,38,23,15,38,1,311
65,30,95,65,30,95,1,312
14,10,24,14,10,24,1,313
9,4,13,9,4,13,1,314
26,39,65,26,39,65,1,315
4,14,18,4,14,18,1,316
396,224,620,396,224,620,1,317
136,238,374,136,238,374,1,318
6,19,25,6,19,25,1,319
10,89,99,10,89,99,1,320
38,30,68,38,30,68,1,321
26,20,46,26,20,46,1,322
22,10,32,22,10,32,1,323
11,13,24,11,13,24,1,324
12,6,18,12,6,18,1,325
6,29,35,6,29,35,1,326
27,87,114,27,87,114,1,327
103,73,176,103,73,176,1,328
9,3,12,9,3,12,1,329
33,52,85,33,52,85,1,330
13,48,61,13,48,61,1,331
11,20,31,11,20,31,1,332
14,5,19,14,5,19,1,333
17,4,21,17,4,21,1,334
133,142,275,133,142,275,1,335
7,5,12,7,5,12,1,336
1,7,8,1,7,8,1,337
10,4,14,10,4,14,1,338
4,1,5,4,1,5,1,339
34,46,80,34,46,80,1,340
42,72,114,42,72,114,1,341
9,3,12,9,3,12,1,342
1,0,1,1,0,1,1,343
9,5,14,9,5,14,1,344
17,23,40,17,23,40,1,345
31,12,43,31,12,43,1,346
10,10,20,10,10,20,1,347
5,8,13,5,8,13,1,348
14,30,44,14,30,44,1,349
1,0,1,1,0,1,1,350
1,1,2,1,1,2,1,351
0,0,0,0,0,0,1,352
1,3,4,1,3,4,1,353
0,0,0,0,0,0,1,354
6,7,13,6,7,13,1,355
7,0,7,7,0,7,1,356
0,0,0,0,0,0,1,357
0,0,0,0,0,0,1,358
5,4,9,5,4,9,1,359
2,1,3,2,1,3,1,360
1,1,2,1,1,2,1,361
3,1,4,3,1,4,1,362
25,71,96,25,71,96,1,363
42,74,116,42,74,116,1,364
8,8,16,8,8,16,1,365
13,13,26,13,13,26,1,366
19,61,80,19,61,80,1,367
1,8,9,1,8,9,1,368
10,3,13,10,3,13,1,369
2,2,4,2,2,4,1,370
1,0,1,1,0,1,1,371
5,0,5,5,0,5,1,372
17,65,82,17,65,82,1,373
18,3,21,18,3,21,1,374
22,9,31,22,9,31,1,375
1,6,7,1,6,7,1,376
1,1,2,1,1,2,1,377
4,4,8,4,4,8,1,378
529,9,538,529,9,538,1,379
6,2,8,6,2,8,1,380
2,1,3,2,1,3,1,381
24,5,29,24,5,29,1,382
51,16,67,51,16,67,1,383
21,6,27,21,6,27,1,384
4,2,6,4,2,6,1,385
3,0,3,3,0,3,1,386
21,7,28,21,7,28,1,387
12,11,23,12,11,23,1,388
23,27,50,23,27,50,1,389
195,50,245,195,50,245,1,390
72,54,126,72,54,126,1,391
92,32,124,92,32,124,1,392
12,7,19,12,7,19,1,393
10,24,34,10,24,34,1,394
4,6,10,4,6,10,1,395
13,3,16,13,3,16,1,396
3,0,3,3,0,3,1,397
12,5,17,12,5,17,1,398
5,27,32,5,27,32,1,399
5,7,12,5,7,12,1,400
1,0,1,1,0,1,1,401
4,1,5,4,1,5,1,402
1,7,8,1,7,8,1,403
0,0,0,0,0,0,1,404
2,0,2,2,0,2,1,405
0,1,1,0,1,1,1,406
17,24,41,17,24,41,1,407
2,1,3,2,1,3,1,408
5,12,17,5,12,17,1,409
36,19,55,36,19,55,1,410
4,16,20,4,16,20,1,411
6,4,10,6,4,10,1,412
16,12,28,16,12,28,1,413
41,39,80,41,39,80,1,414
33,90,123,33,90,123,1,415
1,2,3,1,2,3,1,416
2,5,7,2,5,7,1,417
125,53,178,125,53,178,1,418
52,41,93,52,41,93,1,419
98,37,135,98,37,135,1,420
6,1,7,6,1,7,1,421
0,1,1,0,1,1,1,422
3,2,5,3,2,5,1,423
6,8,14,6,8,14,1,424
0,2,2,0,2,2,1,425
2,0,2,2,0,2,1,426
8,16,24,8,16,24,1,427
6,0,6,6,0,6,1,428
81,172,253,81,172,253,1,429
23,64,87,23,64,87,1,430
3,19,22,3,19,22,1,431
17,17,34,17,17,34,1,432
18,84,102,18,84,102,1,433
13,4,17,13,4,17,1,434
21,3,24,21,3,24,1,435
8,3,11,8,3,11,1,436
8,0,8,8,0,8,1,437
0,0,0,0,0,0,1,438
5,15,20,5,15,20,1,439
16,10,26,16,10,26,1,440
6,0,6,6,0,6,1,441
7,13,20,7,13,20,1,442
10,10,20,10,10,20,1,443
2,4,6,2,4,6,1,444
13,3,16,13,3,16,1,445
32,4,36,32,4,36,1,446
1356,569,1925,1356,569,1925,1,447
500,177,677,500,177,677,1,448
438,165,603,438,165,603,1,449
345,72,417,345,72,417,1,450
96,481,577,96,481,577,1,451
9,32,41,9,32,41,1,452
597,63,660,597,63,660,1,453
62,31,93,62,31,93,1,454
3,7,10,3,7,10,1,455
13,0,13,13,0,13,1,456
489,81,570,489,81,570,1,457
12,5,17,12,5,17,1,458
4,2,6,4,2,6,1,459
1,1,2,1,1,2,1,460
7,5,12,7,5,12,1,461
8,1,9,8,1,9,1,462
20,6,26,20,6,26,1,463
4,1,5,4,1,5,1,464
28,4,32,28,4,32,1,465
53,52,105,53,52,105,1,466
873,4687,5560,873,4687,5560,1,467
9,63,72,9,63,72,1,468
43,55,98,43,55,98,1,469
98,10,108,98,10,108,1,470
6,6,12,6,6,12,1,471
11,2,13,11,2,13,1,472
6,1,7,6,1,7,1,473
17,9,26,17,9,26,1,474
20,8,28,20,8,28,1,475
2,0,2,2,0,2,1,476
0,2,2,0,2,2,1,477
13,2,15,13,2,15,1,478
32,22,54,32,22,54,1,479
11,5,16,11,5,16,1,480
465,293,758,465,293,758,1,481
12,4,16,12,4,16,1,482
6,3,9,6,3,9,1,483
25,6,31,25,6,31,1,484
20,1,21,20,1,21,1,485
1,2,3,1,2,3,1,486
42,16,58,42,16,58,1,487
166,195,361,166,195,361,1,488
2,2,4,2,2,4,1,489
3,3,6,3,3,6,1,490
2,0,2,2,0,2,1,491
7,9,16,7,9,16,1,492
3,5,8,3,5,8,1,493
167,402,569,167,402,569,1,494
183,476,659,183,476,659,1,495
3,2,5,3,2,5,1,496
4,4,8,4,4,8,1,497
15,30,45,15,30,45,1,498
63,91,154,63,91,154,1,499
33,27,60,33,27,60,1,500
4,0,4,4,0,4,1,501
12,8,20,12,8,20,1,502
10,6,16,10,6,16,1,503
0,2,2,0,2,2,1,504
5,1,6,5,1,6,1,505
3,0,3,3,0,3,1,506
9,2,11,9,2,11,1,507
5,2,7,5,2,7,1,508
11,9,20,11,9,20,1,509
14,4,18,14,4,18,1,510
16,3,19,16,3,19,1,511
365,831,1196,365,831,1196,1,512
114,431,545,114,431,545,1,513
11,11,22,11,11,22,1,514
5,0,5,5,0,5,1,515
1306,156,1462,1306,156,1462,1,516
48,30,78,48,30,78,1,517
12,4,16,12,4,16,1,518
6,0,6,6,0,6,1,519
10,1,11,10,1,11,1,520
16,4,20,16,4,20,1,521
13,2,15,13,2,15,1,522
37,35,72,37,35,72,1,523
23,17,40,23,17,40,1,524
55,9,64,55,9,64,1,525
31,1,32,31,1,32,1,526
25,11,36,25,11,36,1,527
49712,46620,96332,49712,46620,96332,1,528
392,782,1174,392,782,1174,1,529
1536,3102,4638,1536,3102,4638,1,530
300,705,1005,300,705,1005,1,531
22662,51546,74208,22662,51546,74208,1,532
5088,16060,21148,5088,16060,21148,1,533
15723,42054,57777,15723,42054,57777,1,534
3626,6684,10310,3626,6684,10310,1,535
5758,13496,19254,5758,13496,19254,1,536
3713,10561,14274,3713,10561,14274,1,537
101,168,269,101,168,269,1,538
95,86,181,95,86,181,1,539
950,931,1881,950,931,1881,1,540
402,496,898,402,496,898,1,541
1392,862,2254,1392,862,2254,1,542
915,606,1521,915,606,1521,1,543
870,487,1357,870,487,1357,1,544
65,51,116,65,51,116,1,545
451,590,1041,451,590,1041,1,546
232,283,515,232,283,515,1,547
2468,2821,5289,2468,2821,5289,1,548
5,5,10,5,5,10,1,549
8,3,11,8,3,11,1,550
10,3,13,10,3,13,1,551
5,2,7,5,2,7,1,552
9,2,11,9,2,11,1,553
33,8,41,33,8,41,1,554
11,0,11,11,0,11,1,555
24,2,26,24,2,26,1,556
2,0,2,2,0,2,1,557
158,19,177,158,19,177,1,558
2,2,4,2,2,4,1,559
3,3,6,3,3,6,1,560
17,2,19,17,2,19,1,561
2,4,6,2,4,6,1,562
2,1,3,2,1,3,1,563
7,2,9,7,2,9,1,564
4,4,8,4,4,8,1,565
12,3,15,12,3,15,1,566
5,2,7,5,2,7,1,567
4,2,6,4,2,6,1,568
12,3,15,12,3,15,1,569
27,34,61,27,34,61,1,570
0,0,0,0,0,0,1,571
3,12,15,3,12,15,1,572
0,0,0,0,0,0,1,573
1,0,1,1,0,1,1,574
34,9,43,34,9,43,1,575
11,3,14,11,3,14,1,576
23,7,30,23,7,30,1,577
5,10,15,5,10,15,1,578
51,103,154,51,103,154,1,579
4,17,21,4,17,21,1,580
4,15,19,4,15,19,1,581
55,20,75,55,20,75,1,582
6,4,10,6,4,10,1,583
6,4,10,6,4,10,1,584
27,10,37,27,10,37,1,585
3,13,16,3,13,16,1,586
9,1,10,9,1,10,1,587
29,23,52,29,23,52,1,588
19,16,35,19,16,35,1,589
18,50,68,18,50,68,1,590
14,22,36,14,22,36,1,591
6621,5077,11698,6621,5077,11698,1,592
39,38,77,39,38,77,1,593
31,18,49,31,18,49,1,594
31,97,128,31,97,128,1,595
2,5,7,2,5,7,1,596
6,4,10,6,4,10,1,597
3,1,4,3,1,4,1,598
0,2,2,0,2,2,1,599
123,53,176,123,53,176,1,600
16,4,20,16,4,20,1,601
36,31,67,36,31,67,1,602
23,7,30,23,7,30,1,603
110,15,125,110,15,125,1,604
79,20,99,79,20,99,1,605
7,2,9,7,2,9,1,606
41,14,55,41,14,55,1,607
23,13,36,23,13,36,1,608
15,1,16,15,1,16,1,609
88,6,94,88,6,94,1,610
30,7,37,30,7,37,1,611
0,2,2,0,2,2,1,612
330,132,462,330,132,462,1,613
3,2,5,3,2,5,1,614
4,0,4,4,0,4,1,615
2,0,2,2,0,2,1,616
4,9,13,4,9,13,1,617
4,0,4,4,0,4,1,618
1,0,1,1,0,1,1,619
5,1,6,5,1,6,1,620
3,3,6,3,3,6,1,621
11,5,16,11,5,16,1,622
5,5,10,5,5,10,1,623
1,0,1,1,0,1,1,624
10,29,39,10,29,39,1,625
1,0,1,1,0,1,1,626
2,0,2,2,0,2,1,627
3,1,4,3,1,4,1,628
1,3,4,1,3,4,1,629
7,3,10,7,3,10,1,630
5,6,11,5,6,11,1,631
28,19,47,28,19,47,1,632
0,2,2,0,2,2,1,633
2,0,2,2,0,2,1,634
323,41,364,323,41,364,1,635
1,2,3,1,2,3,1,636
3,4,7,3,4,7,1,637
7,6,13,7,6,13,1,638
5,0,5,5,0,5,1,639
9,5,14,9,5,14,1,640
5,7,12,5,7,12,1,641
4,0,4,4,0,4,1,642
2,1,3,2,1,3,1,643
2,0,2,2,0,2,1,644
5,1,6,5,1,6,1,645
1,2,3,1,2,3,1,646
3,0,3,3,0,3,1,647
0,0,0,0,0,0,1,648
5,3,8,5,3,8,1,649
30,23,53,30,23,53,1,650
845,370,1215,845,370,1215,1,651
6702,785,7487,6702,785,7487,1,652
481,530,1011,481,530,1011,1,653
504,509,1013,504,509,1013,1,654
20,4,24,20,4,24,1,655
85,44,129,85,44,129,1,656
5,4,9,5,4,9,1,657
5,3,8,5,3,8,1,658
55,94,149,55,94,149,1,659
1125,4362,5487,1125,4362,5487,1,660
8,0,8,8,0,8,1,661
7,3,10,7,3,10,1,662
8,7,15,8,7,15,1,663
1,2,3,1,2,3,1,664
6,3,9,6,3,9,1,665
43,28,71,43,28,71,1,666
35,45,80,35,45,80,1,667
5,3,8,5,3,8,1,668
11,13,24,11,13,24,1,669
10,2,12,10,2,12,1,670
15,19,34,15,19,34,1,671
2,2,4,2,2,4,1,672
2,9,11,2,9,11,1,673
3,9,12,3,9,12,1,674
11,6,17,11,6,17,1,675
2,2,4,2,2,4,1,676
3,15,18,3,15,18,1,677
3,5,8,3,5,8,1,678
2,3,5,2,3,5,1,679
3,2,5,3,2,5,1,680
39,84,123,39,84,123,1,681
3,8,11,3,8,11,1,682
1,2,3,1,2,3,1,683
56,52,108,56,52,108,1,684
33,40,73,33,40,73,1,685
291,145,436,291,145,436,1,686
20,51,71,20,51,71,1,687
39,109,148,39,109,148,1,688
5,8,13,5,8,13,1,689
7,12,19,7,12,19,1,690
19,23,42,19,23,42,1,691
13,44,57,13,44,57,1,692
36,126,162,36,126,162,1,693
13,14,27,13,14,27,1,694
32,10,42,32,10,42,1,695
17,24,41,17,24,41,1,696
1,3,4,1,3,4,1,697
72,276,348,72,276,348,1,698
35,42,77,35,42,77,1,699
10,10,20,10,10,20,1,700
8,2,10,8,2,10,1,701
4,5,9,4,5,9,1,702
2,3,5,2,3,5,1,703
9,7,16,9,7,16,1,704
1,7,8,1,7,8,1,705
7,10,17,7,10,17,1,706
10,14,24,10,14,24,1,707
10,2,12,10,2,12,1,708
1,15,16,1,15,16,1,709
4,15,19,4,15,19,1,710
8,1,9,8,1,9,1,711
4,0,4,4,0,4,1,712
58,263,321,58,263,321,1,713
28,30,58,28,30,58,1,714
57,78,135,57,78,135,1,715
54,109,163,54,109,163,1,716
37,65,102,37,65,102,1,717
13,5,18,13,5,18,1,718
18,22,40,18,22,40,1,719
47,31,78,47,31,78,1,720
2,7,9,2,7,9,1,721
28,205,233,28,205,233,1,722
16,84,100,16,84,100,1,723
11,15,26,11,15,26,1,724
4,8,12,4,8,12,1,725
5,3,8,5,3,8,1,726
4,3,7,4,3,7,1,727
0,3,3,0,3,3,1,728
2,5,7,2,5,7,1,729
3,5,8,3,5,8,1,730
1,4,5,1,4,5,1,731
2,3,5,2,3,5,1,732
2,5,7,2,5,7,1,733
1,4,5,1,4,5,1,734
5,7,12,5,7,12,1,735
4,2,6,4,2,6,1,736
0,0,0,0,0,0,1,737
2,2,4,2,2,4,1,738
7,1,8,7,1,8,1,739
2,0,2,2,0,2,1,740
8,33,41,8,33,41,1,741
0,3,3,0,3,3,1,742
11,1,12,11,1,12,1,743
23,10,33,23,10,33,1,744
30,55,85,30,55,85,1,745
2,11,13,2,11,13,1,746
4,1,5,4,1,5,1,747
5,7,12,5,7,12,1,748
4,1,5,4,1,5,1,749
2,2,4,2,2,4,1,750
6,1,7,6,1,7,1,751
4,11,15,4,11,15,1,752
49,76,125,49,76,125,1,753
5,7,12,5,7,12,1,754
2,3,5,2,3,5,1,755
2,2,4,2,2,4,1,756
7,5,12,7,5,12,1,757
1,0,1,1,0,1,1,758
1,0,1,1,0,1,1,759
0,0,0,0,0,0,1,760
1,0,1,1,0,1,1,761
0,0,0,0,0,0,1,762
1,1,2,1,1,2,1,763
1,0,1,1,0,1,1,764
0,1,1,0,1,1,1,765
0,0,0,0,0,0,1,766
4,9,13,4,9,13,1,767
7,18,25,7,18,25,1,768
0,4,4,0,4,4,1,769
10,0,10,10,0,10,1,770
1,1,2,1,1,2,1,771
0,1,1,0,1,1,1,772
23,5,28,23,5,28,1,773
1516,388,1904,1516,388,1904,1,774
48,32,80,48,32,80,1,775
62,11,73,62,11,73,1,776
661,766,1427,661,766,1427,1,777
82,758,840,82,758,840,1,778
7,6,13,7,6,13,1,779
9,6,15,9,6,15,1,780
15,36,51,15,36,51,1,781
4,1,5,4,1,5,1,782
5,11,16,5,11,16,1,783
552,972,1524,552,972,1524,1,784
175,56,231,175,56,231,1,785
370,594,964,370,594,964,1,786
20,44,64,20,44,64,1,787
242,880,1122,242,880,1122,1,788
113,206,319,113,206,319,1,789
60,71,131,60,71,131,1,790
131,704,835,131,704,835,1,791
8,1,9,8,1,9,1,792
6,3,9,6,3,9,1,793
7,3,10,7,3,10,1,794
179,40,219,179,40,219,1,795
9,7,16,9,7,16,1,796
5,1,6,5,1,6,1,797
6,0,6,6,0,6,1,798
33,6,39,33,6,39,1,799
3,1,4,3,1,4,1,800
85,15,100,85,15,100,1,801
145,22,167,145,22,167,1,802
130,123,253,130,123,253,1,803
18,8,26,18,8,26,1,804
13,20,33,13,20,33,1,805
16,4,20,16,4,20,1,806
60,74,134,60,74,134,1,807
7,8,15,7,8,15,1,808
7,0,7,7,0,7,1,809
7,4,11,7,4,11,1,810
2,2,4,2,2,4,1,811
1,1,2,1,1,2,1,812
34,16,50,34,16,50,1,813
5,0,5,5,0,5,1,814
49,16,65,49,16,65,1,815
84,4,88,84,4,88,1,816
88,108,196,88,108,196,1,817
330,161,491,330,161,491,1,818
145,96,241,145,96,241,1,819
1776,1177,2953,1776,1177,2953,1,820
33,21,54,33,21,54,1,821
1619,618,2237,1619,618,2237,1,822
30,51,81,30,51,81,1,823
569,232,801,569,232,801,1,824
1023,380,1403,1023,380,1403,1,825
750,585,1335,750,585,1335,1,826
13,4,17,13,4,17,1,827
30,14,44,30,14,44,1,828
7,3,10,7,3,10,1,829
15,20,35,15,20,35,1,830
4,1,5,4,1,5,1,831
36,9,45,36,9,45,1,832
4,4,8,4,4,8,1,833
28,6,34,28,6,34,1,834
4,2,6,4,2,6,1,835
84,110,194,84,110,194,1,836
7,3,10,7,3,10,1,837
20,16,36,20,16,36,1,838
8,3,11,8,3,11,1,839
4,4,8,4,4,8,1,840
36,18,54,36,18,54,1,841
50,49,99,50,49,99,1,842
19,43,62,19,43,62,1,843
2,9,11,2,9,11,1,844
8,5,13,8,5,13,1,845
22,5,27,22,5,27,1,846
2,1,3,2,1,3,1,847
5,1,6,5,1,6,1,848
14,9,23,14,9,23,1,849
249,243,492,249,243,492,1,850
